伟	亻韦 [ r jc ]
传	亻专 [ r jv ]
伡	亻车 [ r af ]
伢	亻牙 [ r al ]
伣	亻冂儿 [ r m qg ]
伤	亻𠂉力 [ r tk ct ]
伥	亻长 [ r ha ]
伦	亻人匕 [ r wg x ]
伧	亻人㔾 [ r wg c ]
伨	亻勹冫 [ r q u ]
伩	亻文 [ r yg ]
伪	亻ソ㇆丶 [ r u c y ]
伫	亻宀一 [ r pg k ]
伬	亻尸㇏ [ r vt y ]
伭	亻亠㇜厶 [ r y x xy ]
伮	亻女又 [ r xk vy ]
伯	亻白 [ r rn ]
估	亻古 [ r fb ]
伱	亻人小 [ r wg iw ]
伲	亻尸匕 [ r vt x ]
伳	亻廿㇗ [ r fk x ]
伴	亻半 [ r uj ]
伵	亻四 [ r mn ]
伶	亻令 [ r wp ]
伷	亻由 [ r no ]
伸	亻日丨 [ r n l ]
伹	亻且 [ r mh ]
伺	亻司 [ r cb ]
伻	亻一{伞下} [ r k uk ]
似	亻㇙丶人 [ r x y wg ]
伽	亻力口 [ r ct b ]
伾	亻不一 [ r sl k ]
伿	亻口八 [ r b w ]
佀	亻㠯 [ r v ]
佁	亻厶口 [ r xy b ]
佂	亻一止 [ r k ll ]
佃	亻田 [ r nb ]
佄	亻甘 [ r fj ]
佅	亻二小 [ r jg iw ]
但	亻日一 [ r n k ]
佇	亻宀丁 [ r pg kl ]
佈	亻ナ巾 [ r s ml ]
佉	亻土厶 [ r j xy ]
佊	亻皮 [ r vv ]
佋	亻刀口 [ r co b ]
佌	亻止匕 [ r ll x ]
位	亻立 [ r yu ]
低	亻{卬左}七丶 [ r q ag y ]
住	亻丶王 [ r y h ]
佐	亻ナ工 [ r s jl ]
佑	亻ナ口 [ r s b ]
佒	亻冂大 [ r m sy ]
体	亻木一 [ r d k ]
佔	亻⺊口 [ r lg b ]
何	亻丁口 [ r kl b ]
佖	亻心丿 [ r pu t ]
佗	亻宀匕 [ r pg x ]
佘	人示 [ wg ji ]
余	余 [ wt ]
佚	亻{丿二}人 [ r tj wg ]
佛	亻弓{介下} [ r vx r ]
作	亻𠂉{乍下} [ r tk lg ]
佝	亻句 [ r qb ]
佞	亻二女 [ r jg xk ]
佟	亻夂⺀ [ r tw u ]
你	亻尔 [ r qi ]
佡	亻人山 [ r wg mx ]
佢	亻匚コ [ r a v ]
佣	亻用 [ r mj ]
佤	亻一㇙㇈丶 [ r k x cg y ]
佥	亼{佥下} [ wk ik ]
佦	亻石 [ r s ]
佧	亻⺊一卜 [ r lg k lg ]
佨	亻包 [ r qv ]
佩	亻几一巾 [ r mg k ml ]
佪	亻囗口 [ r bg b ]
佫	亻各 [ r tb ]
佬	亻耂匕 [ r jt x ]
佭	亻夂㐄 [ r tw tj ]
佮	亻合 [ r wb ]
佯	亻羊 [ r uh ]
佰	亻丆日 [ r s n ]
佱	亼一止 [ wk k ll ]
佲	亻夕口 [ r qy b ]
佳	亻土土 [ r j j ]
佴	亻耳 [ r hd ]
併	亻䒑廾 [ r uk f ]
佶	亻士口 [ r j b ]
佷	亻艮 [ r vq ]
佸	亻舌 [ r tm ]
佹	亻⺈厂㔾 [ r qv s c ]
佺	亻人王 [ r wg h ]
佻	亻{軣下}儿 [ r o qg ]
佼	亻亠八乂 [ r y w wy ]
佽	亻冫欠 [ r u qw ]
佾	亻八月 [ r w q ]
使	亻一口乂 [ r k b wy ]
侀	亻一廾刂 [ r k f ng ]
侁	亻⺧儿 [ r tj qg ]
侂	亻广丿七 [ r ys t ag ]
侃	亻口{巟下} [ r b r ]
侄	亻至 [ r aj ]
侅	亻亠{亥中}人 [ r y xt wg ]
來	木人人 [ d wg wg ]
侇	亻一弓人 [ r k vx wg ]
侈	亻夕夕 [ r qy qy ]
侉	亻大二㇉ [ r sy jg x ]
侊	亻⺌兀 [ r iw sx ]
例	亻歹刂 [ r kq ng ]
侌	人丶㇇二厶 [ wg y v jg xy ]
侍	亻土寸 [ r j gy ]
侎	亻米 [ r ud ]
侏	亻{丿二}小 [ r tj iw ]
侐	亻丿皿 [ r t mn ]
侑	亻ナ月 [ r s q ]
侒	亻宀女 [ r pg xk ]
侓	亻聿 [ r vl ]
侔	亻厶牛 [ r xy tl ]
侕	亻而 [ r sm ]
侖	亼冂卄 [ wk m f ]
侗	亻冂一口 [ r m k b ]
侘	亻宀丿七 [ r pg t ag ]
侙	亻弋工 [ r ay jl ]
侚	亻勹日 [ r q n ]
供	亻龷八 [ r fk w ]
侜	亻舟 [ r eu ]
依	亻亠𧘇 [ r y q ]
侞	亻女口 [ r xk b ]
侟	亻ナ丨子 [ r s l ck ]
侠	亻一丷大 [ r k u sy ]
価	亻覀 [ r dg ]
侢	亻一冉 [ r k mj ]
侣	亻口口 [ r b b ]
侤	亻耂一㇉ [ r jt k x ]
侥	亻{戈}兀 [ r at sx ]
侦	亻⺊贝 [ r lg mw ]
侧	亻贝刂 [ r mw ng ]
侨	亻丿大{介下} [ r t sy r ]
侩	亻人二厶 [ r wg jg xy ]
侪	亻文{介下} [ r yg r ]
侫	亻亡女 [ r ya xk ]
侬	亻冖𧘇 [ r pp q ]
侭	亻尸㇏⺀ [ r vt y u ]
侮	亻𠂉母 [ r tk xu ]
侯	亻ユ矢 [ r v ts ]
侰	亻彐丿口 [ r vh t b ]
侱	亻口王 [ r b h ]
侲	亻辰 [ r sj ]
侳	亻人人土 [ r wg wg j ]
侴	亼丑刂 [ wk vf ng ]
侵	亻彐冖又 [ r vh pp vy ]
侶	亻口{囟框} [ r b rb ]
